order_code,matched,official_code,official_name,matched_by
4001,True,4001,대전)중심서적,code
7002,True,7002,부산)한길도서,code
2109,True,2109,평택)에듀뱅크,code
2105,True,2105,구리)한강도서,code
7407,True,7407,상주)한양도서,code
1007,True,1007,서대문)신흥도서,code
2116,True,2116,양평)학원서림,code
2002,True,2002,부평)나일도서,code
5001,True,5001,광주)천재도서,code
7203,True,7203,진주)이룸도서,code
4104,True,4104,홍성)중앙서점,code
7408,True,7408,김천)춘양당,code
2111,True,2111,하남)광주교육,code
4105,True,4105,논산)이화서점,code
7101,True,7101,울산)국일서적,code
7301,True,7301,대구)대본서적,code
9930,True,9930,총판 없음,code
3003,True,3003,강릉)동아도서,code
1003,True,1003,강동)한백도서,code
1001,True,1001,노원)대성서적,code
3002,True,3002,춘천)춘천도서,code
1004,True,1004,강서)강서도서,code
5105,True,5105,해남)해남서점,code
1006,True,1006,영등포)태영도서,code
1002,True,1002,강남)푸른언덕,code
7001,True,7001,부산)천재문화,code
7204,True,7204,통영)이문당,code
1005,True,1005,동대문)문형서적,code
7402,True,7402,구미)우리교육,code
2115,True,2115,이천)대동교육,code
2110,True,2110,부천)부천교육,code
2112,True,2112,안산)한솔문고,code
1009,True,1009,종로)서경서적,code
2113,True,2113,시흥)플러스원서적,code
2101,True,2101,고양)아현교육,code
2106,True,2106,안양)동명문고,code
2117,True,2117,광명)플러스원서적,code
7201,True,7201,창원)남도서적,code
9972,True,9972,총판 없음,code
7405,True,7405,안동)종로교재,code
2108,True,2108,의정부)다독도서,code
7410,True,7410,울진)종로서적,code
7406,True,7406,영주)샘터서점,code
7403,True,7403,경산)경일서적,code
7404,True,7404,경주)경주도서,code
4101,True,4101,천안)천안서적,code
9741,True,9741,경북고령)씨마스,code
2001,True,2001,인천)진웅서적,code
5204,True,5204,정읍)보람서점,code
2114,True,2114,김포)청인에듀,code
3005,True,3005,영월)중앙서점,code
4106,True,4106,공주)열린문고,code
5202,True,5202,익산)하늘문고,code
7202,True,7202,김해)명인서적,code
2104,True,2104,수원)이상서적,code
1010,True,1010,마포)중부사,code
1008,True,1008,관악)일신도서,code
5101,True,5101,순천)중앙서점,code
5103,True,5103,여수)천재도서,code
7102,True,7102,울산)세영서적,code
9941,True,9941,총판 없음,code
9970,True,9970,총판 없음,code
5203,True,5203,군산)군산서적,code
9921,True,9921,총판 없음,code
7206,True,7206,사천)새싹서점,code
9411,True,9411,충남금산)씨마스,code
5104,True,5104,나주)종합서점,code
4201,True,4201,청주)학우사,code
4301,True,4301,세종)중심서적,code
2102,True,2102,오산)새로이교육,code
5201,True,5201,전주)열린교육,code
2103,True,2103,용인)문정서적,code
2107,True,2107,성남)천재도서,code
5102,True,5102,목포)대동서적,code
5206,True,5206,남원)성지서림,code
3001,True,3001,원주)미래교육,code
6002,True,6002,서귀포)명문서적,code
4103,True,4103,당진)삼지사,code
6001,True,6001,제주)은성도서,code
7401,True,7401,포항)여해서적,code
4107,True,4107,보령)한내서적,code
4102,True,4102,서산)중앙서적,code
3004,True,3004,속초)문우당,code
5205,True,5205,김제)삼화서점,code
7409,True,7409,칠곡)세종서점,code
4204,True,4204,증평)동아서림,code
5106,True,5106,보성)대교서점,code
9974,True,9974,총판 없음,code
9721,True,9721,경남밀양)씨마스,code
7205,True,7205,양산)제일도서,code
4202,True,4202,충주)북적북적,code
5107,True,5107,고흥)문화서림,code
4203,True,4203,제천)이문서점,code
4108,True,4108,부여)문광사,code
9910,True,9910,총판 없음,code
9920,True,9920,총판 없음,code
9742,True,9742,경북성주)씨마스,code
9521,True,9521,전북순창)씨마스,code
9722,True,9722,경남의령)씨마스,code
9511,True,9511,전남영광)씨마스,code
9743,True,9743,경북영덕)씨마스,code
9723,True,9723,경남함양)씨마스,code
9744,True,9744,경북울릉)씨마스,code
9952,True,9952,총판 없음,code
9522,True,9522,전북임실)씨마스,code
9412,True,9412,충남서천)씨마스,code
9951,True,9951,총판 없음,code
9942,True,9942,총판 없음,code
9950,True,9950,총판 없음,code
9973,True,9973,총판 없음,code
9940,True,9940,총판 없음,code
9971,True,9971,총판 없음,code
9731,True,9731,대구군위)씨마스,code
9211,True,9211,경기연천)씨마스,dist_only
9943,True,9943,총판 없음,dist_only
9960,True,9960,총판 없음,dist_only
