코드,교과군,연번,학교급,구분,교과군,교과서명,대표저자,심의기관,판형,확정가,담당,비고,2026 목표과목
462681,사회,1,고등학교,교과서,사회(역사/도덕),한국사 1,신주백,교육과정평가원,215*280,"9,950 ",나현서,,
462781,사회,2,고등학교,교과서,사회(역사/도덕),한국사 2,신주백,교육과정평가원,215*280,"9,950 ",나현서,,
463551,사회,3,고등학교,교과서,사회(역사/도덕),현대사회와 윤리,조주현,교육과정평가원,215*280,"13,400 ",최종원,,목표과목2
476151,사회,4,고등학교,교과서,사회(역사/도덕),사회문제 탐구,김명정,세종교육청,215*280,"16,000 ",이양희,,목표과목2
476331,사회,5,고등학교,교과서,사회(역사/도덕),윤리문제 탐구,최경영,인천교육청,215*280,"15,000 ",최종원,,목표과목2
473921,사회,6,고등학교,교과서,사회(역사/도덕),여행지리,마경묵,전북교육청,215*280,"16,000 ",이양희,,목표과목2
476411,사회,7,고등학교,교과서,사회(역사/도덕),기후변화와 지속가능한 세계,이승호,인천교육청,215*280,"16,000 ",이양희,,목표과목2
476031,사회,8,고등학교,교과서,사회(역사/도덕),역사로 탐구하는 현대 세계,신주백,인천교육청,215*280,"15,000 ",박샘이,0829_가격 공고,목표과목2
476251,사회,9,고등학교,교과서,사회(역사/도덕),금융과 경제생활,한진수,세종교육청,215*280,"16,000 ",이양희,조정가(25.07.21) 1.7-->1.6으로 조정,목표과목2
473731,사회,10,고등학교,교과서,사회(역사/도덕),윤리와 사상,김상득,울산교육청,215*280,"16,500 ",최종원,"0625_1.65만원, 0814_유선 확정 통보",목표과목2
273241,과학,11,중학교,교과서,진로·보건,보건,김선아,서울교육연구정보원,215*280,"15,000 ",신혜영,,
477441,과학,12,고등학교,교과서,과학,기후변화와 환경생태,하경자,대전교육청,215*280,"17,000 ",신혜영,,목표과목2
477331,과학,13,고등학교,교과서,과학,과학의 역사와 문화,김호련,대구교육청,215*280,"16,500 ",신혜영,0812_가격 조정 권고_수용 회신,목표과목2
273371,교양,14,중학교,교과서,교양,진로와 직업,한상근,전북교육청,215*280,"12,500 ",박영지,,
484841,교양,15,고등학교,교과서,교양,진로와 직업,임은미,전북교육청,215*280,"14,100 ",박영지,,
485271,교양,16,고등학교,교과서,교양,인간과 심리,신지은,세종교육청,215*280,"16,000 ",강민아,,목표과목2
485631,교양,17,고등학교,교과서,교양,논술,류수열,대구교육청,215*280,"16,000 ",강민아,25.2.11.공고,목표과목2
471811,수학,18,고등학교,교과서,수학,경제 수학,김서령,광주교육연구정보원,215*280,"16,000 ",장순자,,목표과목2
471911,수학,19,고등학교,교과서,수학,인공지능 수학,윤상운,광주교육연구정보원,215*280,"16,000 ",장순자,,목표과목2
472141,수학,20,고등학교,교과서,수학,수학과 문화,주미경,충남교육평가정보원,215*280,"14,000 ",장순자,확정 ,목표과목2
272461,미술,21,중학교,교과서,미술,미술 ①,고황경,경기교육청,228*300,"13,000 ",권민서,,
272661,미술,22,중학교,교과서,미술,미술 ②,고황경,경기교육청,228*300,"13,000 ",권민서,,
481951,미술,23,고등학교,교과서,예술(미술),미술,이주연,경기교육청,228*300,"14,000 ",모은영,,
482331,미술,24,고등학교,교과서,예술(미술),미술 창작,이주연,경기교육청,228*300,"15,000 ",모은영,,목표과목2
